"nodenames","colorh1","essentiality"
"CG10002","red",NA
"CG10009","green",NA
"CG10032","green",NA
"CG10033","grey",2
"CG1004","turquoise",2
"CG10043","grey",1
"CG10067","grey",NA
"CG1007","turquoise",2
"CG10076","grey",2
"CG10079","turquoise",2
"CG10103","grey",1
"CG10108","turquoise",2
"CG10118","grey",2
"CG10139","grey",NA
"CG10154","green",1
"CG10159","red",1
"CG10164","grey",NA
"CG1017","grey",1
"CG1019","red",NA
"CG10192","grey",NA
"CG10209","yellow",1
"CG10215","grey",1
"CG10261","grey",2
"CG10263","red",1
"CG10267","green",NA
"CG10269","grey",1
"CG10274","grey",1
"CG10279","black",NA
"CG1028","brown",2
"CG10293","grey",2
"CG10295","yellow",2
"CG1030","brown",2
"CG10305","grey",2
"CG10308","yellow",NA
"CG10318","grey",1
"CG10324","grey",1
"CG10325","brown",NA
"CG10327","grey",NA
"CG10334","turquoise",2
"CG1034","blue",2
"CG10364","grey",1
"CG10377","brown",2
"CG10387","red",1
"CG10388","brown",2
"CG10392","grey",NA
"CG10393","turquoise",2
"CG10395","grey",1
"CG1041","grey",NA
"CG10423","grey",NA
"CG1044","turquoise",2
"CG10443","turquoise",NA
"CG1046","grey",NA
"CG10488","grey",2
"CG10491","turquoise",2
"CG10498","yellow",2
"CG10508","turquoise",1
"CG10510","green",1
"CG10527","grey",1
"CG10539","blue",2
"CG10541","grey",1
"CG10559","grey",NA
"CG10578","grey",1
"CG10580","turquoise",2
"CG10604","green",1
"CG10619","brown",2
"CG10622","yellow",NA
"CG1064","brown",NA
"CG10650","green",1
"CG10653","grey",1
"CG10654","grey",1
"CG10664","green",1
"CG10683","grey",NA
"CG10685","yellow",NA
"CG10686","red",NA
"CG10694","grey",NA
"CG10695","grey",1
"CG10699","grey",2
"CG10703","grey",1
"CG1071","yellow",1
"CG10751","grey",2
"CG10798","turquoise",2
"CG10800","turquoise",2
"CG10814","grey",1
"CG10846","grey",1
"CG10849","grey",2
"CG10851","grey",2
"CG1088","grey",1
"CG10882","grey",NA
"CG10895","grey",1
"CG10901","grey",2
"CG1091","grey",1
"CG10943","grey",NA
"CG10948","green",1
"CG10952","grey",NA
"CG10961","grey",1
"CG10967","yellow",NA
"CG10971","grey",1
"CG10975","turquoise",2
"CG10979","grey",NA
"CG1099","grey",1
"CG11001","grey",1
"CG11006","grey",1
"CG1104","grey",1
"CG11049","turquoise",NA
"CG11055","grey",1
"CG11061","green",1
"CG11076","grey",NA
"CG11084","turquoise",1
"CG11092","grey",1
"CG11094","red",2
"CG11100","green",1
"CG11121","brown",2
"CG11138","blue",NA
"CG11154","green",NA
"CG11163","grey",1
"CG11164","grey",1
"CG11166","grey",NA
"CG11173","grey",1
"CG11181","grey",NA
"CG11182","blue",1
"CG11186","blue",NA
"CG11194","grey",1
"CG11213","grey",1
"CG11228","green",1
"CG11230","grey",NA
"CG11247","grey",1
"CG11248","grey",1
"CG11265","yellow",1
"CG11266","black",1
"CG11271","grey",2
"CG11275","grey",1
"CG11282","turquoise",2
"CG11286","yellow",1
"CG11290","grey",NA
"CG11299","grey",1
"CG1132","grey",1
"CG11324","grey",NA
"CG11326","green",NA
"CG11327","grey",NA
"CG1133","red",2
"CG1135","grey",1
"CG11350","grey",NA
"CG11354","grey",2
"CG11377","grey",1
"CG11380","black",1
"CG11387","brown",NA
"CG11390","grey",1
"CG11420","yellow",2
"CG11427","grey",1
"CG11449","grey",1
"CG11450","turquoise",2
"CG11466","black",1
"CG11486","blue",1
"CG11489","grey",1
"CG11491","red",NA
"CG11502","turquoise",2
"CG11505","grey",1
"CG11525","yellow",1
"CG11539","grey",1
"CG11546","grey",2
"CG11561","turquoise",NA
"CG11579","turquoise",2
"CG11581","grey",1
"CG11591","grey",1
"CG11607","red",1
"CG11614","turquoise",2
"CG11622","grey",NA
"CG11628","grey",1
"CG11635","red",NA
"CG11648","brown",NA
"CG11656","grey",NA
"CG11672","turquoise",NA
"CG11678","grey",1
"CG1168","grey",1
"CG11680","grey",2
"CG11711","red",1
"CG11719","red",NA
"CG11761","black",1
"CG11763","grey",1
"CG11769","grey",1
"CG11776","black",1
"CG11798","grey",NA
"CG11799","grey",1
"CG11861","yellow",NA
"CG11870","grey",1
"CG11876","grey",1
"CG11881","grey",1
"CG11895","turquoise",2
"CG11896","red",1
"CG11901","grey",1
"CG11905","grey",1
"CG11941","yellow",NA
"CG11981","grey",1
"CG11988","turquoise",2
"CG12010","grey",1
"CG12019","yellow",2
"CG12045","grey",1
"CG12052","turquoise",NA
"CG12058","brown",2
"CG12081","brown",1
"CG12085","grey",2
"CG1210","blue",NA
"CG12114","grey",1
"CG12116","blue",1
"CG1212","grey",1
"CG12124","grey",NA
