gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,Degree40,Closeness40,Cluster.coeff40,color40,Degree50,Closeness50,Cluster.coeff50,color50,Degree65,Closeness65,Cluster.coeff65,color65,Degree70,Closeness70,Cluster.coeff70,Degree85,Closeness85,Cluster.coeff85,color85,Degree90,Closeness90,Cluster.coeff90,color90,Betweenness85,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YAL001C,S000000001,TFC3,3573,transcription initiation from Pol III promoter,RNA polymerase III transcription factor activity,transcription factor TFIIIC complex,1,200,0.4956619,0.10316583,blue,28,0.3534247,0.058201058,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,-0.15,-0.21,0.17,-0.42,-0.44,-0.15,0.24,-0.1,NA,0.18,0.42,-0.25,-0.13,0.77,-0.21,0.43,-0.19,-0.77,-0.17,-0.19,0.13,-0.36,-0.55,-0.07,-0.01,0.03,0.27,0.85,0.3,-0.12,0.24,0.18,-0.24,0.11,-0.12,0.37,0.07,-0.09,-0.32,0.04,-0.48,0.04
YAL002W,S000000002,VPS8,3825,late endosome to vacuole transport,NA,membrane fraction,0,564,0.5173351,0.09381102,turquoise,158,0.4329796,0.071595582,grey,4,0.2300121,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07,-0.25,-0.11,0.01,0.06,0.04,-0.26,0.04,0.19,-0.22,-0.2,0.12,0.21,-0.26,0.22,0.58,-0.36,0.13,0.83,-0.01,-0.77,-0.62,0.14,-0.58,-0.05,0.23,0.2,0.23,0.08,0.39,0.14,0.17,0.03,0.35,0.03,-0.08,-0.13,-0.21,-0.06,-0.1,-0.19,0.08,0.01,-0.02
YAL003W,S000000003,EFB1,987,translational elongation,translation elongation factor activity,ribosome,1,696,0.5206353,0.1207186,turquoise,244,0.4213021,0.113674695,grey,102,0.2898992,0.174335081,grey,86,0.2550569,0.19589603,14,0.10909091,0.15384615,blue,6,0.2890625,0.2,yellow,6.75E+00,-1.22,0.23,-0.14,0.1,-0.32,-0.4,-0.58,0.11,0.21,0.09,0.57,-0.14,0.29,0.01,0.05,0.55,-0.08,0.33,-0.36,-0.22,0.22,-0.28,0.41,-0.8,0.42,0.05,-0.47,1.06,-2.82,-0.22,-1.54,-0.3,NA,0.39,0.18,0.28,0.15,0.4,0.24,0.22,-0.27,-0.1,0.34,0.02
YAL004W,NA,NA,NA,NA,NA,NA,0,920,0.5299496,0.1062497,blue,376,0.4616184,0.106780142,purple,46,0.288261,0.126570048,grey,22,0.2368209,0.12987013,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,-0.14,-0.02,-0.11,0.12,-0.03,0.19,0.13,0.76,0.07,0.04,-0.06,0.3,-0.47,-0.11,0.23,-0.45,0.02,1.64,1.14,0.88,-0.07,0.03,-1.18,0.07,-0.34,-0.73,-0.18,-0.6,-0.12,0.36,0.1,0.11,0.14,-0.15,-0.73,-0.79,-0.2,0.34,0.07,-0.59,0.35,0.66,0.32
YAL005C,S000000004,SSA1,1929,protein folding,unfolded protein binding,cytoplasm,0,850,0.5271553,0.09919767,blue,342,0.4513035,0.109756307,blue,52,0.2977639,0.079939668,grey,16,0.2276813,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0.65,-0.05,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.42,0.28,-0.3,-0.3,0.68,-0.24,0.22,1.55,1.58,1.34,0.01,0.53,-0.8,-0.16,-0.61,-0.9,-0.07,-0.96,-0.66,-0.09,-0.02,NA,0.25,-0.45,-0.83,-0.26,-0.16,0.3,0.21,-0.43,0.21,0.6,0.65
YAL007C,S000000005,ERP2,648,ER to Golgi transport,NA,COPII-coated vesicle,0,888,0.5286885,0.09664117,yellow,304,0.4417808,0.118942157,brown,24,0.2721262,0.148550725,grey,6,0.2232353,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,-0.54,-0.6,-0.13,0.35,-0.01,0.49,0.18,0.43,-0.23,-0.3,-0.24,0.23,0.04,0.18,0.16,-0.01,-0.21,-0.59,-0.16,0.66,-0.1,0.07,-0.33,0.41,-0.23,-0.51,0.58,0.07,0.01,-0.17,-0.28,-0.16,0.2,0.36,0.17,0.39,0.1,0,-0.16,0.29,-0.06,-0.26,-0.41
YAL008W,S000000006,FUN14,597,NA,NA,mitochondrion,0,660,0.5197557,0.11321102,blue,216,0.421969,0.123169681,blue,12,0.2605193,0.090909091,grey,2,0.1854681,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36,0.1,-0.28,-0.06,0.22,0.25,0.13,0.34,0.44,-0.32,0.26,-0.77,0.31,-0.09,-0.45,0.47,-0.49,0.22,1.15,0.67,0.94,NA,-0.38,-0.91,-0.05,-0.91,-0.79,0.52,-0.3,0.03,0.2,0.4,-0.59,0.29,-0.42,-0.16,0.2,0.07,0.01,-0.04,-0.02,0.19,-0.42,0.29
YAL009W,S000000007,SPO7,780,sporulation (sensu Fungi),NA,integral to membrane,0,314,0.5056904,0.10158523,green,54,0.3782276,0.092243187,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,-0.54,-0.03,0.17,-0.12,-0.27,0.06,0.23,0.11,0.03,-0.27,-0.24,0.36,-0.11,-0.27,0.46,0.23,-0.06,0.39,-0.87,-0.13,-0.71,0.2,-0.73,0.28,0.25,0.1,0.06,0.18,0.33,0.49,0.23,0.06,0.32,0.12,0.12,0.29,-0.1,-0.41,-0.65,-0.07,-0.35,-0.19,0.15
YAL010C,S000000008,MDM10,1482,mitochondrion organization and biogenesis,NA,mitochondrial outer membrane,0,356,0.5075517,0.08460199,green,86,0.4008621,0.045964432,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,0.01,-0.05,0.13,-0.21,-0.45,-0.21,0.06,0.32,0,0.26,-0.5,0.31,0.1,-0.71,0.51,0.31,0.13,0.7,-0.04,-0.33,-0.27,-0.02,-0.85,0.2,0.33,0.15,-0.18,-0.24,0.24,0.67,0.52,NA,-0.5,-0.34,-0.17,0.37,-0.08,-0.01,0.02,0.34,0.05,-0.93,0.05
YAL011W,S000000009,SWC3,1878,chromatin remodeling,NA,nucleus,0,292,0.5058824,0.0943605,blue,60,0.3997001,0.071751412,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,-0.25,-0.31,-0.3,-0.23,-0.13,-0.07,0.08,0.12,-0.01,-0.13,0.12,0.47,-0.3,1.04,0.54,-0.16,0.07,-0.06,-0.44,-0.47,-0.73,0.54,-0.4,0.43,0.33,-0.09,0.62,-0.12,-0.17,0.03,-0.13,0.03,0.16,0.26,-0.01,-0.15,-0.17,0.08,0.11,-0.13,-0.09,-0.01,0.01
